Symbol	Bed chr (hg19)	start	end	chr locus	Annotator	Date updated	Origin	Expansion of gene name	Known function of gene	Variant type	Hom or Het	Variant chr	Variant start	Variant end	Call	Literature 1 (Title; PMID; Lit score)	Literature 2 (Title; PMID; Lit score)	Literature 3 (Title; PMID; Lit score)	Literature 4 (Title; PMID; Lit score)	Literature 5 (Title; PMID; Lit score)	Literature 6 (Title; PMID; Lit score)	Literature 7 (Title; PMID; Lit score)	Free text comments		Pathway
LAMTOR5	chr1	110943876	110950546	1p13.3			Index gene	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5																	
WDR77	chr1	111982511	111991930	1p13.2			Index gene	WD repeat domain 77																	
ATP5F1	chr1	111991742	112004525	1p13.2			Index gene	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1																	
RAP1A	chr1	112162404	112259317	1p13.2			Index gene	RAP1A, member of RAS oncogene family																	
CAPZA1	chr1	113162074	113214241	1p13.2	HT	12/6/2017	Index gene	capping actin protein of muscle Z-line alpha subunit 1		1	het				VOUS	Actin Capping Protein is required for Dendritic Spine Development and Synapse Formation; PMID: 21752999; 1									
RHOC	chr1	113243748	113250025	1p13.2			Index gene	ras homolog family member C																	
PPM1J	chr1	113252615	113257950	1p13.2			Index gene	protein phosphatase, Mg2+/Mn2+ dependent 1J																	
HIPK1	chr1	114471995	114520491	1p13.2			Index gene	homeodomain interacting protein kinase 1																	
BCAS2	chr1	115110180	115124265	1p13.2	HT	12/6/2017	Index gene	BCAS2, pre-mRNA processing factor		1	het				VOUS	BCAS2 is involved in alternative mRNA splicing in spermatogonia and the transition to meiosis; PMID: 28128212; 4	Amplification of the BCAS2 gene at chromosome 1p13.3-21 in human primary breast cancer; PMID: 12169396, 4	BCAS2 interacts with HSF4 and negatively regulates its protein stability via ubiquitination; PMID: 26319152; 4	Maternal BCAS2 protects genomic integrity in mouse early embryonic development; PMID: 26428007, 4	Conditional Knockout of Breast Carcinoma Amplified Sequence 2 (BCAS2) in Mouse Forebrain Causes Dendritic Malformation via β-catenin; PMID: 27713508; 2					
CSDE1	chr1	115259533	115300671	1p13.2			Index gene	cold shock domain containing E1																	
ATP1A1	chr1	116915794	116947396	1p13.1			Index gene	ATPase Na+/K+ transporting subunit alpha 1																	
ATP1A1-AS1	chr1	116935486	116961244	1p13.1			Index gene	ATP1A1 antisense RNA 1																	
MAN1A2	chr1	117910084	118068320	1p12			Index gene	mannosidase alpha class 1A member 2																	
PDE4DIP	chr1	144851423	145076186	1q21.2			Index gene	phosphodiesterase 4D interacting protein																	
SEC22B	chr1	145096406	145116997	1p12			Index gene	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)																	
TXNIP	chr1	145438437	145442644	1q21.1	KH	12/6/2017	Index gene	thioredoxin interacting protein	This gene encodes a thioredoxin-binding protein that is a member of the alpha arrestin protein family. Thioredoxin is a thiol-oxidoreductase that is a major regulator of cellular redox signaling which protects cells from oxidative stress. This protein inhibits the antioxidative function of thioredoxin resulting in the accumulation of reactive oxygen species and cellular stress. This protein also functions as a regulator of cellular metabolism and of endoplasmic reticulum (ER) stress. This protein may also function as a tumor suppressor. 	1	Het				VOUS	Deletion of thioredoxin-interacting protein in mice impairs mitochondrial function but protects the myocardium from ischemia-reperfusion injury; PMID: 22201682; 1									oxidative stress
TXNIP	chr1	145438437	145442644	1q21.1	KH	12/6/2017	Index gene	thioredoxin interacting protein	This gene encodes a thioredoxin-binding protein that is a member of the alpha arrestin protein family. Thioredoxin is a thiol-oxidoreductase that is a major regulator of cellular redox signaling which protects cells from oxidative stress. This protein inhibits the antioxidative function of thioredoxin resulting in the accumulation of reactive oxygen species and cellular stress. This protein also functions as a regulator of cellular metabolism and of endoplasmic reticulum (ER) stress. This protein may also function as a tumor suppressor. 	3	Het				VOUS	Expanding the phenotype of reciprocal 1q21.1 deletions and duplications: a case series; PMID: 28724436; 2							describes a balanced rearrangement, normal features		oxidative stress
POLR3GL	chr1	145456235	145470387	1q21.1			Index gene	RNA polymerase III subunit G like																	
RBM8A	chr1	145507556	145513535	1q21.1	KH	12/6/2017	Index gene	RNA binding motif protein 8A		1	Het				LP	Complex inheritance pattern resembling autosomal recessive inheritance involving a microdeletion in thrombocytopenia-absent radius syndrome; PMID: 17236129; 1	Compound inheritance of a low-frequency regulatory SNP and a rare null mutation in exon-junction complex subunit RBM8A causes TAR syndrome; PMID: 22366785; 1	Contribution of copy number variants involving nonsense-mediated mRNA decay pathway genes to neuro-developmental disorders; PMID: 23376982; 1	Prenatal detection of TAR syndrome in a fetus with compound inheritance of an RBM8A SNP and a 334‑kb deletion: a case report; PMID: 24220582; 1	Interstitial 1q21.1 Microdeletion Is Associated with Severe Skeletal Anomalies, Dysmorphic Face and Moderate Intellectual Disability; PMID: 27920638; 1	A critical role of RBM8a in proliferation and differentiation of embryonic neural progenitors; PMID: 26094033; 1				A good example of AR and loss of 1 copy not having same effects
RBM8A	chr1	145507556	145513535	1q21.1	KH	12/6/2017	Index gene	RNA binding motif protein 8A		3	Het				LP	Contribution of copy number variants involving nonsense-mediated mRNA decay pathway genes to neuro-developmental disorders; PMID: 23376982; 1	An EJC factor RBM8a regulates anxiety behaviors; PMID: 23638902; 1								
PEX11B	chr1	145516164	145523732	1q21.1	KH	12/6/2017	Index gene	peroxisomal biogenesis factor 11 beta		1	Het				CARRIER	Novel PEX11B Mutations Extend the Peroxisome Biogenesis Disorder 14B Phenotypic Spectrum and Underscore Congenital Cataract as an Early Feature; PMID: 28129423; 1	A novel defect of peroxisome division due to a homozygous non-sense mutation in the PEX11β gene; PMID: 22581968; 1								
PEX11B	chr1	145516164	145523732	1q21.1	KH	12/6/2017	Index gene	peroxisomal biogenesis factor 11 beta		3	Het				VOUS										
SV2A	chr1	149874871	149889434	1q21.2			Index gene	synaptic vesicle glycoprotein 2A																	
SF3B4	chr1	149895208	149900144	1q21.2			Index gene	splicing factor 3b subunit 4																	
VPS45	chr1	150039349	150117505	1q21.2			Index gene	vacuolar protein sorting 45 homolog																	
PLEKHO1	chr1	150121623	150132260	1q21.2			Index gene	pleckstrin homology domain containing O1																	
APH1A	chr1	150237798	150241609	1q21.2			Index gene	aph-1 homolog A, gamma-secretase subunit																	
MRPS21	chr1	150266261	150281414	1q21.2			Index gene	mitochondrial ribosomal protein S21																	
MCL1	chr1	150547026	150552214	1q21.2			Index gene	MCL1, BCL2 family apoptosis regulator																	
ENSA	chr1	150594598	150602098	1q21.3			Index gene	endosulfine alpha																	
CERS2	chr1	150937648	150947479	1q21.3			Index gene	ceramide synthase 2																	
CDC42SE1	chr1	151023446	151032125	1q21.3			Index gene	CDC42 small effector 1																	
MLLT11	chr1	151032150	151040973	1q21.3			Index gene	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11																	
SCNM1	chr1	151138497	151142773	1q21.3			Index gene	sodium channel modifier 1																	
VPS72	chr1	151148775	151162689	1q21.3			Index gene	vacuolar protein sorting 72 homolog																	
PIP5K1A	chr1	151171020	151222007	1q21.3			Index gene	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha																	
PSMD4	chr1	151227196	151239954	1q21.3			Index gene	proteasome 26S subunit, non-ATPase 4																	
PI4KB	chr1	151264272	151300191	1q21.3			Index gene	phosphatidylinositol 4-kinase beta																	
PSMB4	chr1	151372040	151374412	1q21.3			Index gene	proteasome subunit beta 4																	
POGZ	chr1	151375199	151431941	1q21.3			Index gene	pogo transposable element derived with ZNF domain																	
SNX27	chr1	151584661	151671559	1q21.3			Index gene	sorting nexin family member 27																	
CELF3	chr1	151672533	151689296	1q21.3	HT	12/6/2017	Index gene	CUGBP Elav-like family member 3		1	het				VOUS	Transcriptomic profile analysis of mouse neural tube development by RNA-Seq; PMID: 28691208; 2	The CELF family of RNA binding proteins is implicated in cell-specific and developmentally regulated alternative splicing; PMID: 11158314; 2								
MRPL9	chr1	151732118	151736392	1q21.3			Index gene	mitochondrial ribosomal protein L9																	
OAZ3	chr1	151735444	151743806	1q21.3			Index gene	ornithine decarboxylase antizyme 3																	
CHTOP	chr1	153606457	153618782	1q21.3			Index gene	chromatin target of PRMT1																	
SNAPIN	chr1	153631129	153634328	1q21.3			Index gene	SNAP associated protein																	
ILF2	chr1	153634263	153643504	1q21.3			Index gene	interleukin enhancer binding factor 2																	
INTS3	chr1	153700542	153747284	1q21.3			Index gene	integrator complex subunit 3																	
DENND4B	chr1	153901976	153919154	1q21.3			Index gene	DENN domain containing 4B																	
SLC39A1	chr1	153931574	153940660	1q21.3			Index gene	solute carrier family 39 member 1																	
JTB	chr1	153946744	153950451	1q21.3			Index gene	jumping translocation breakpoint																	
RPS27	chr1	153963238	153964631	1q21.3			Index gene	ribosomal protein S27																	
TPM3	chr1	154127779	154164611	1q21.3			Index gene	tropomyosin 3																	
C1orf43	chr1	154179176	154193273	1q21.3			Index gene	chromosome 1 open reading frame 43																	
UBAP2L	chr1	154192647	154243986	1q21.3			Index gene	ubiquitin associated protein 2 like																	
HAX1	chr1	154245038	154248355	1q21.3			Index gene	HCLS1 associated protein X-1																	
UBE2Q1	chr1	154521050	154531120	1q21.3			Index gene	ubiquitin conjugating enzyme E2 Q1																	
ADAR	chr1	154554533	154600456	1q21.3			Index gene	adenosine deaminase, RNA specific																	
PMVK	chr1	154897207	154915126	1q21.3			Index gene	phosphomevalonate kinase																	
PYGO2	chr1	154929501	154934258	1q21.3			Index gene	pygopus family PHD finger 2																	
ADAM15	chr1	155023747	155035252	1q21.3			Index gene	ADAM metallopeptidase domain 15																	
EFNA3	chr1	155051347	155060014	1q21.3			Index gene	ephrin A3																	
DPM3	chr1	155112366	155112996	1q22			Index gene	dolichyl-phosphate mannosyltransferase subunit 3																	
MTX1	chr1	155178489	155183630	1q22			Index gene	metaxin 1																	
FAM189B	chr1	155216995	155225274	1q22			Index gene	family with sequence similarity 189 member B																	
SCAMP3	chr1	155225769	155232176	1q22			Index gene	secretory carrier membrane protein 3																	
FDPS	chr1	155278538	155290457	1q22			Index gene	farnesyl diphosphate synthase																	
RUSC1-AS1	chr1	155290250	155293938	1q22			Index gene	RUSC1 antisense RNA 1																	
RUSC1	chr1	155290639	155300909	1q22			Index gene	RUN and SH3 domain containing 1																	
ASH1L	chr1	155305051	155532324	1q22	KH	12/6/2017	Index gene	ASH1 like histone lysine methyltransferase	This gene encodes a member of the trithorax group of transcriptional activators. The protein contains four AT hooks, a SET domain, a PHD-finger motif, and a bromodomain. It is localized to many small speckles in the nucleus, and also to cell-cell tight junctions	1	Het				LP	De novo genic mutations among a Chinese autism spectrum disorder cohort; PMID: 27824329; 1	De novo mutations in schizophrenia implicate synaptic networks; PMID: 24463507; 1	Diagnostic exome sequencing in persons with severe intellectual disability; PMID: 23033978; 1	Targeted Next-Generation Sequencing Analysis of 1,000 Individuals with Intellectual Disability; PMID: 26350204; 1	Molecular Diagnostic Yield of Chromosomal Microarray Analysis and Whole-Exome Sequencing in Children With Autism Spectrum Disorder; PMID: 26325558; 1	Novel MCA/ID syndrome with ASH1L mutation; PMID: 28394464; 1				Polycomb regulationPMID: 26549848
ASH1L	chr1	155305051	155532324	1q22	KH	12/6/2017	Index gene	ASH1 like histone lysine methyltransferase	This gene encodes a member of the trithorax group of transcriptional activators. The protein contains four AT hooks, a SET domain, a PHD-finger motif, and a bromodomain. It is localized to many small speckles in the nucleus, and also to cell-cell tight junctions	3	Het				VOUS										
YY1AP1	chr1	155629232	155658823	1q22			Index gene	YY1 associated protein 1																	
DAP3	chr1	155658881	155708800	1q22			Index gene	death associated protein 3																	
SYT11	chr1	155829259	155854990	1q22			Index gene	synaptotagmin 11																	
ARHGEF2	chr1	155916629	155948336	1q22			Index gene	Rho/Rac guanine nucleotide exchange factor 2																	
SSR2	chr1	155978838	155990758	1q22			Index gene	signal sequence receptor subunit 2																	
UBQLN4	chr1	156005084	156023616	1q22			Index gene	ubiquilin 4																	
LAMTOR2	chr1	156024516	156028301	1q22			Index gene	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2																	
LMNA	chr1	156052336	156109880	1q22			Index gene	lamin A/C																	
SLC25A44	chr1	156163722	156182587	1q22			Index gene	solute carrier family 25 member 44																	
PMF1	chr1	156182778	156209868	1q22			Index gene	polyamine modulated factor 1																	
SMG5	chr1	156219014	156261289	1q22			Index gene	SMG5, nonsense mediated mRNA decay factor																	
CCT3	chr1	156278751	156308206	1q22			Index gene	chaperonin containing TCP1 subunit 3																	
C1orf61	chr1	156374043	156399340	1q22			Index gene	chromosome 1 open reading frame 61																	
MEF2D	chr1	156433512	156470634	1q22			Index gene	myocyte enhancer factor 2D																	
NAXE	chr1	156561557	156564091	1q22			Index gene	NAD(P)HX epimerase																	
BCAN	chr1	156611739	156629324	1q23.1			Index gene	brevican																	
MRPL24	chr1	156707093	156710923	1q23.1			Index gene	mitochondrial ribosomal protein L24																	
HDGF	chr1	156711898	156722240	1q23.1			Index gene	heparin binding growth factor																	
PRCC	chr1	156737273	156770609	1q23.1			Index gene	papillary renal cell carcinoma (translocation-associated)																	
ARHGEF11	chr1	156904631	157015162	1q23.1			Index gene	Rho guanine nucleotide exchange factor 11																	
CADM3	chr1	159141376	159172932	1q23.2			Index gene	cell adhesion molecule 3																	
TAGLN2	chr1	159887896	159895332	1q23.2			Index gene	transgelin 2																	
IGSF8	chr1	160061128	160068618	1q23.2			Index gene	immunoglobulin superfamily member 8																	
ATP1A2	chr1	160085519	160113374	1q23.2			Index gene	ATPase Na+/K+ transporting subunit alpha 2																	
PEA15	chr1	160175108	160185166	1q23.2			Index gene	phosphoprotein enriched in astrocytes 15																	
DCAF8	chr1	160185504	160232350	1q23.2			Index gene	DDB1 and CUL4 associated factor 8																	
PEX19	chr1	160246598	160254941	1q23.2			Index gene	peroxisomal biogenesis factor 19																	
